Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Kaspa,12/16/2024,12/17/2024,0.157656223,0.15875489,0.148881982,0.148930491,294762208.9,3865610017
Kaspa,12/15/2024,12/16/2024,0.157213983,0.158953048,0.153285257,0.158010425,227522047.2,3966339948
Kaspa,12/14/2024,12/15/2024,0.162303013,0.163667773,0.154219692,0.157566623,258008364.7,4020564347
Kaspa,12/13/2024,12/14/2024,0.164150963,0.16496609,0.159105476,0.162421926,374091081.8,4100540216
Kaspa,12/12/2024,12/13/2024,0.16434136,0.173659162,0.16157153,0.163664429,445735212.6,4250262078
Kaspa,12/11/2024,12/12/2024,0.158227207,0.168984949,0.152947975,0.165167767,534906528.8,4085889177
Kaspa,12/10/2024,12/11/2024,0.163737241,0.167081737,0.15061334,0.158318885,842674662.8,4050680238
Kaspa,12/9/2024,12/10/2024,0.189310995,0.189310995,0.156707174,0.165593718,562255356.2,4497098801
Kaspa,12/8/2024,12/9/2024,0.18456301,0.188738611,0.179317302,0.188620332,627046286.6,4642024900
Kaspa,12/7/2024,12/8/2024,0.175223886,0.188025346,0.169261796,0.185577663,683609715.3,4477472944
Kaspa,12/6/2024,12/7/2024,0.159454102,0.175852688,0.159454102,0.175252859,521349474.7,4208570430
Kaspa,12/5/2024,12/6/2024,0.159392102,0.164367673,0.155392756,0.159863277,519008501,4059885461
Kaspa,12/4/2024,12/5/2024,0.160879996,0.166430776,0.158655303,0.159906386,552552407.2,4119920104
Kaspa,12/3/2024,12/4/2024,0.15918148,0.160760813,0.149274825,0.160246383,564712699,3951834185
Kaspa,12/2/2024,12/3/2024,0.17051547,0.172650345,0.154319483,0.159229221,464669012.3,4083341294
Kaspa,12/1/2024,12/2/2024,0.162615928,0.170809806,0.158419493,0.170001911,373403209.6,4150367710
Kaspa,11/30/2024,12/1/2024,0.155299412,0.166024328,0.154478601,0.162142161,317266017.1,4057853806
Kaspa,11/29/2024,11/30/2024,0.152622864,0.157047962,0.150354398,0.155385852,219179528.2,3870133491
Kaspa,11/28/2024,11/29/2024,0.153641635,0.154449473,0.149295979,0.152937876,248463862.9,3820269345
Kaspa,11/27/2024,11/28/2024,0.14934061,0.154459047,0.147334695,0.154341282,286078103.4,3803667826
Kaspa,11/26/2024,11/27/2024,0.149693291,0.153278983,0.142721356,0.150034744,336785291.7,3746975519
Kaspa,11/25/2024,11/26/2024,0.15162846,0.158313817,0.147830938,0.150433112,387999986.4,3857732765
Kaspa,11/24/2024,11/25/2024,0.155167998,0.158502195,0.145657435,0.153596924,449283631.7,3850719208
Kaspa,11/23/2024,11/24/2024,0.153911819,0.164985556,0.151829252,0.154473233,378173131.7,3973410082
Kaspa,11/22/2024,11/23/2024,0.154452534,0.154647166,0.146764093,0.154647166,348058346,3804064335
Kaspa,11/21/2024,11/22/2024,0.153370343,0.158261865,0.146815243,0.154443703,434317564,3844041673
Kaspa,11/20/2024,11/21/2024,0.160660728,0.167348027,0.150551153,0.152955641,512717972.3,4002271184
Kaspa,11/19/2024,11/20/2024,0.172580722,0.179070431,0.157424809,0.160385516,578861474.6,4290117930
Kaspa,11/18/2024,11/19/2024,0.150743027,0.175791725,0.150137625,0.171973067,462665657.5,4179910817
Kaspa,11/17/2024,11/18/2024,0.147557485,0.156769543,0.142255479,0.151557164,331298069.5,3803162244
Kaspa,11/16/2024,11/17/2024,0.138973469,0.149514406,0.137219563,0.147876736,392693664.2,3636423976
Kaspa,11/15/2024,11/16/2024,0.141411446,0.143928813,0.129028005,0.140334186,663495226.7,3364071475
Kaspa,11/14/2024,11/15/2024,0.129592354,0.152676412,0.123272541,0.141889856,461128378.7,3367583455
Kaspa,11/13/2024,11/14/2024,0.139755247,0.142552717,0.125594577,0.129078338,462344098.2,3351499531
Kaspa,11/12/2024,11/13/2024,0.153032779,0.153032779,0.134481731,0.140437736,559250281.8,3541751234
Kaspa,11/11/2024,11/12/2024,0.15380202,0.158448917,0.148992431,0.153951437,862898083.8,3816979403
Kaspa,11/10/2024,11/11/2024,0.133551212,0.162352439,0.133416484,0.153380726,761048400.5,3609884746
Kaspa,11/9/2024,11/10/2024,0.113201845,0.137049274,0.111229897,0.13532619,269800141.6,2941181139
Kaspa,11/8/2024,11/9/2024,0.116255522,0.117042748,0.108334669,0.113302247,238069001,2813121096
Kaspa,11/7/2024,11/8/2024,0.120720165,0.124859573,0.11378687,0.115581462,215995766.8,2973176689
Kaspa,11/6/2024,11/7/2024,0.112832697,0.125096829,0.112832697,0.12125242,260800411.1,2965576929
Kaspa,11/5/2024,11/6/2024,0.105619832,0.115198678,0.105619832,0.112684682,167215364.9,2709644542
Kaspa,11/4/2024,11/5/2024,0.109728281,0.112240613,0.103179066,0.105302094,141213483.9,2690982643
Kaspa,11/3/2024,11/4/2024,0.114825108,0.115105804,0.107685871,0.109987047,146220395.2,2756819892
Kaspa,11/2/2024,11/3/2024,0.118559133,0.119023199,0.113133986,0.114775719,204544566.6,2888721925
Kaspa,11/1/2024,11/2/2024,0.116400805,0.122310999,0.115040992,0.118324233,361607487.5,2939718515
Kaspa,10/31/2024,11/1/2024,0.115769735,0.119479002,0.113811216,0.115899916,324095031.1,2893245832
Kaspa,10/30/2024,10/31/2024,0.114199336,0.115565417,0.107033949,0.113850413,316213813.4,2776079140
Kaspa,10/29/2024,10/30/2024,0.120785991,0.123555543,0.110739951,0.114240475,179457490.2,2927789649
Kaspa,10/28/2024,10/29/2024,0.123667014,0.123949635,0.11804429,0.120660126,136380865.3,3014839003
Kaspa,10/27/2024,10/28/2024,0.119536048,0.126670019,0.117986113,0.123259491,174331853.1,3025609498
Kaspa,10/26/2024,10/27/2024,0.113058268,0.121615694,0.112582639,0.119359749,402153255,2921688574
Kaspa,10/25/2024,10/26/2024,0.131507716,0.132954632,0.105342175,0.114268559,146286400.1,3210373148
Kaspa,10/24/2024,10/25/2024,0.132576438,0.135603214,0.130971965,0.131370768,135496871.8,3291069562
Kaspa,10/23/2024,10/24/2024,0.137792641,0.137983079,0.13018726,0.132929924,170012468.4,3314854963
Kaspa,10/22/2024,10/23/2024,0.131964834,0.139582366,0.130260926,0.137656631,180065758.6,3376188439
Kaspa,10/21/2024,10/22/2024,0.134995123,0.137410837,0.12948811,0.131831781,139931403,3302406733
Kaspa,10/20/2024,10/21/2024,0.131664278,0.135762652,0.128820627,0.135305334,124278156,3281204525
Kaspa,10/19/2024,10/20/2024,0.132634067,0.134772465,0.129822952,0.131783656,155583718.5,3269346816
Kaspa,10/18/2024,10/19/2024,0.127806709,0.133979613,0.126746802,0.132220235,218238295.2,3209635658
Kaspa,10/17/2024,10/18/2024,0.133472281,0.133931316,0.122611668,0.127579748,191148753.8,3173101345
Kaspa,10/16/2024,10/17/2024,0.136544308,0.136550334,0.132333091,0.133395827,130691608.7,3346468484
Kaspa,10/15/2024,10/16/2024,0.139987451,0.140255124,0.133949648,0.136461924,148747262.3,3397755862
Kaspa,10/14/2024,10/15/2024,0.135528827,0.142779317,0.134032609,0.139948255,123832259.7,3444812585
Kaspa,10/13/2024,10/14/2024,0.135199922,0.137423655,0.131997104,0.135342638,127625061,3352379161
Kaspa,10/12/2024,10/13/2024,0.139689376,0.143600296,0.134503665,0.134875743,139944933.1,3451199095
Kaspa,10/11/2024,10/12/2024,0.13425034,0.140901662,0.131938288,0.13909549,139633557,3372185170
Kaspa,10/10/2024,10/11/2024,0.134869438,0.136767484,0.128926573,0.134187787,143040702.2,3315114468
Kaspa,10/9/2024,10/10/2024,0.142730163,0.142730163,0.132239432,0.134345664,163809467.1,3387896891
Kaspa,10/8/2024,10/9/2024,0.1378539,0.145334136,0.13375428,0.14191676,200169730.2,3469311707
Kaspa,10/7/2024,10/8/2024,0.144976055,0.149766263,0.137752268,0.137752268,163825973.9,3605478084
Kaspa,10/6/2024,10/7/2024,0.150364891,0.152021311,0.145186792,0.145186792,129783180.2,3717835574
Kaspa,10/5/2024,10/6/2024,0.150538475,0.153145357,0.148409892,0.15076483,134891355.6,3747430031
Kaspa,10/4/2024,10/5/2024,0.14884031,0.1526036,0.148099407,0.150398052,131212325.9,3741025137
Kaspa,10/3/2024,10/4/2024,0.144547138,0.148614713,0.143204222,0.148511115,141195626.2,3635955597
Kaspa,10/2/2024,10/3/2024,0.150358498,0.154831556,0.143775885,0.144903599,225502403.9,3705950158
Kaspa,10/1/2024,10/2/2024,0.160486928,0.164268096,0.145925129,0.150685042,159727587.7,3930080792
Kaspa,9/30/2024,10/1/2024,0.164871927,0.166307668,0.159477493,0.160477842,131904211.5,4045641685
Kaspa,9/29/2024,9/30/2024,0.168799901,0.168799901,0.164355275,0.165402407,137553646.4,4123815200
Kaspa,9/28/2024,9/29/2024,0.173406261,0.175154357,0.167760609,0.169315655,203334151.8,4229291905
Kaspa,9/27/2024,9/28/2024,0.166185264,0.176485134,0.166077485,0.173303084,177188574.9,4213286770
Kaspa,9/26/2024,9/27/2024,0.163374646,0.167836393,0.162277061,0.165756192,143564696.1,4083759834
Kaspa,9/25/2024,9/26/2024,0.166824305,0.169581059,0.162024315,0.163351162,166790520.4,4092555030
Kaspa,9/24/2024,9/25/2024,0.165975741,0.16736836,0.161634346,0.166725851,129988808.1,4075249645
Kaspa,9/23/2024,9/24/2024,0.166291282,0.169414453,0.165219494,0.166247087,144378181.1,4135818698
Kaspa,9/22/2024,9/23/2024,0.173511953,0.173704334,0.163673064,0.166326424,125287892.5,4171440157
Kaspa,9/21/2024,9/22/2024,0.17140747,0.173671354,0.170081329,0.173656132,120478053.5,4255931406
Kaspa,9/20/2024,9/21/2024,0.172429429,0.174097421,0.168918927,0.171665302,184994385.5,4237549282
Kaspa,9/19/2024,9/20/2024,0.175377266,0.178586626,0.172133248,0.172441443,178132250.5,4324700796
Kaspa,9/18/2024,9/19/2024,0.172468762,0.174960222,0.167987602,0.17454029,138697183.9,4245945770
Kaspa,9/17/2024,9/18/2024,0.168701019,0.176237495,0.167496794,0.172636896,140459972.1,4264893547
Kaspa,9/16/2024,9/17/2024,0.17128832,0.17456999,0.165857,0.168953406,190304615.5,4185574068
Kaspa,9/15/2024,9/16/2024,0.179871511,0.181860189,0.170424176,0.171734012,191615095.3,4370624955
Kaspa,9/14/2024,9/15/2024,0.173446214,0.179861132,0.171602779,0.179263789,140525931.2,4298369421
Kaspa,9/13/2024,9/14/2024,0.168649173,0.173583342,0.16527673,0.173470713,125834643.9,4180958826
