name,month_year,market_cap
Ethereum,2015-11,69441216.51066667
Dogecoin,2015-11,13649079.178666668
Bitcoin,2015-12,6325171015.806452
Ripple,2015-12,213546445.58709678
LiteCoin,2015-12,155857476.3548387
Ethereum,2015-12,66752276.05032258
Dogecoin,2015-12,14555662.279032256
Bitcoin,2016-01,6209658012.774194
Ripple,2016-01,193034014.80967742
LiteCoin,2016-01,145481398.07741934
Ethereum,2016-01,113712286.03774194
Dogecoin,2016-01,19945604.955483872
Bitcoin,2016-02,6139146354.5172415
Ethereum,2016-02,342556466.58965516
Ripple,2016-02,268165264.77586207
LiteCoin,2016-02,144331215.88275862
Dogecoin,2016-02,29241156.12551724
Bitcoin,2016-03,6390321201.709678
Ethereum,2016-03,866385448.6709677
Ripple,2016-03,276808950.6870968
LiteCoin,2016-03,146928278.37741935
Dogecoin,2016-03,23551210.491290323
Bitcoin,2016-04,6697891667.333333
Ethereum,2016-04,712256810.3933333
Ripple,2016-04,238163806.72666666
LiteCoin,2016-04,153448762.80333334
Dogecoin,2016-04,23172500.855666663
Bitcoin,2016-05,7170430676.612904
Ethereum,2016-05,902402736.6870967
Ripple,2016-05,213182462.81290323
LiteCoin,2016-05,184228135.56129032
Dogecoin,2016-05,23686292.51548387
Bitcoin,2016-06,10028104236.0
Ethereum,2016-06,1159802030.68
LiteCoin,2016-06,221867668.85666665
Ripple,2016-06,218643118.2133333
Dogecoin,2016-06,29232818.010666665
Bitcoin,2016-07,10422438764.64516
Ethereum,2016-07,970917120.9580646
Ripple,2016-07,228828729.60645163
LiteCoin,2016-07,194343612.98387095
Dogecoin,2016-07,27376274.358709678
Bitcoin,2016-08,9191808032.258064
Ethereum,2016-08,924964364.9774194
Ripple,2016-08,215025766.82903224
LiteCoin,2016-08,175948014.10000002
Monero,2016-08,40945374.78129032
Bitcoin,2016-09,9598260859.033333
Ethereum,2016-09,1044689042.0366666
Ripple,2016-09,240492415.77333334
LiteCoin,2016-09,184309280.93333334
Monero,2016-09,136951396.81333333
Bitcoin,2016-10,10233034305.64516
Ethereum,2016-10,1029558277.8612903
Ripple,2016-10,293311585.90645164
LiteCoin,2016-10,186642002.20322582
Monero,2016-10,87861026.6416129
Bitcoin,2016-11,11610052630.966667
Ethereum,2016-11,861866294.9566667
Ripple,2016-11,276688510.2133333
LiteCoin,2016-11,189812424.57999998
Monero,2016-11,88814473.022
Bitcoin,2016-12,13224058355.612904
Ethereum,2016-12,681108078.5516129
Ripple,2016-12,236486422.4580645
LiteCoin,2016-12,190889158.33225808
Monero,2016-12,123606678.08064516
Bitcoin,2017-01,14704455400.32258
Ethereum,2017-01,893415453.367742
Ripple,2017-01,239728485.67096776
LiteCoin,2017-01,199016043.29677418
Monero,2017-01,176657292.5483871
Bitcoin,2017-02,17116620463.285715
Ethereum,2017-02,1090144540.9142857
Ripple,2017-02,226660971.74642855
LiteCoin,2017-02,192789996.08571428
Monero,2017-02,175580213.65357143
Bitcoin,2017-03,18395677859.70968
Ethereum,2017-03,3078336007.645161
Ripple,2017-03,283227764.8032258
Monero,2017-03,253854816.3483871
LiteCoin,2017-03,205440320.8
Bitcoin,2017-04,19565013080.6
Ethereum,2017-04,4523767175.6
Ripple,2017-04,1313107874.9866667
LiteCoin,2017-04,557052805.95
Monero,2017-04,295531214.1
Bitcoin,2017-05,30990976050.096775
Ethereum,2017-05,11416152832.838709
Ripple,2017-05,8518279677.451612
LiteCoin,2017-05,1351034617.4
Monero,2017-05,472653792.2935484
Bitcoin,2017-06,43180109604.46667
Ethereum,2017-06,28785046760.133335
Ripple,2017-06,10948342723.3
LiteCoin,2017-06,1891338429.8666666
Monero,2017-06,710416400.2833333
Bitcoin,2017-07,41247543241.935486
Ethereum,2017-07,20907039648.870968
Ripple,2017-07,7703991562.387096
LiteCoin,2017-07,2320181147.129032
Monero,2017-07,605756028.3903226
Bitcoin,2017-08,63389884043.41936
Ethereum,2017-08,28140586401.774193
Ripple,2017-08,7255044439.741936
LiteCoin,2017-08,2560483073.7419353
NEO,2017-08,1546859251.0387096
Bitcoin,2017-09,67414997780.1
Ethereum,2017-09,27789416896.5
Ripple,2017-09,7624168269.8
LiteCoin,2017-09,3151099413.266667
Monero,2017-09,1581115823.7666667
Bitcoin,2017-10,88069256388.09677
Ethereum,2017-10,29142970470.419353
Ripple,2017-10,8679432996.064516
LiteCoin,2017-10,2989642329.483871
NEO,2017-10,1528997559.387097
Bitcoin,2017-11,129975266666.66667
Ethereum,2017-11,34128790502.2
Ripple,2017-11,8671326076.533333
LiteCoin,2017-11,3680362517.4333334
NEO,2017-11,2093995337.9333334
Bitcoin,2017-12,253159322580.64517
Ethereum,2017-12,60810668723.48387
Ripple,2017-12,30111573643.612904
LiteCoin,2017-12,12247462531.741936
Monero,2017-12,4888308135.806452
Bitcoin,2018-01,219250741935.48386
Ethereum,2018-01,107187742002.35484
Ripple,2018-01,73504599278.32259
LiteCoin,2018-01,11896543369.32258
NEO,2018-01,8229168955.451612
Bitcoin,2018-02,159520285714.2857
Ethereum,2018-02,85685945553.07143
Ripple,2018-02,38072097296.57143
LiteCoin,2018-02,10206615171.071428
NEO,2018-02,7773991878.892858
Bitcoin,2018-03,153535580645.1613
Ethereum,2018-03,62061365442.83871
Ripple,2018-03,28881744516.83871
LiteCoin,2018-03,9452579210.709677
NEO,2018-03,5311139067.870968
Bitcoin,2018-04,135820466666.66667
Ethereum,2018-04,51067347367.333336
Ripple,2018-04,26330924335.233334
LiteCoin,2018-04,7489415624.866667
NEO,2018-04,4181407017.766667
Bitcoin,2018-05,144130225806.4516
Ethereum,2018-05,67560651164.80645
Ripple,2018-05,29299311672.903225
LiteCoin,2018-05,7879476705.387096
NEO,2018-05,4276084109.419355
Bitcoin,2018-06,116029033333.33333
Ethereum,2018-06,52119191977.73333
Ripple,2018-06,21952717123.2
LiteCoin,2018-06,5705038300.0
NEO,2018-06,2724252253.133333
Bitcoin,2018-07,121666322580.64516
Ethereum,2018-07,46543394035.70968
Ripple,2018-07,18085459033.419353
LiteCoin,2018-07,4723021384.354838
NEO,2018-07,2266664850.290323
Bitcoin,2018-08,115424870967.74193
Ethereum,2018-08,32886352544.548386
Ripple,2018-08,13624557028.419355
LiteCoin,2018-08,3605033962.83871
Monero,2018-08,1648831789.1612904
Bitcoin,2018-09,114049766666.66667
Ethereum,2018-09,23190652011.966667
Ripple,2018-09,14987586100.966667
LiteCoin,2018-09,3388442577.9
Monero,2018-09,1903245441.2666667
Bitcoin,2018-10,112137516129.03226
Ethereum,2018-10,21506451227.19355
Ripple,2018-10,18666272892.032257
LiteCoin,2018-10,3193027965.677419
Monero,2018-10,1771189789.7096775
Bitcoin,2018-11,94797255874.5
Ripple,2018-11,18262778572.133335
Ethereum,2018-11,17599397568.333332
LiteCoin,2018-11,2547121292.9
Monero,2018-11,1451356972.5433335
Bitcoin,2018-12,64749264918.70968
Ripple,2018-12,13796454610.064516
Ethereum,2018-12,11265955352.419355
LiteCoin,2018-12,1730101765.8709676
Bitcoin-SV,2018-12,1617346963.935484
Bitcoin,2019-01,64695981334.870964
Ripple,2019-01,13650188034.709677
Ethereum,2019-01,13427700226.935484
LiteCoin,2019-01,1981764618.7096775
Bitcoin-SV,2019-01,1387147677.6451614
Bitcoin,2019-02,64398478425.53571
Ethereum,2019-02,13169943626.678572
Ripple,2019-02,12691173929.75
LiteCoin,2019-02,2544843951.071429
Binance-Coin,2019-02,1246472656.7107143
Bitcoin,2019-03,69692500937.64516
Ethereum,2019-03,14415151146.935484
Ripple,2019-03,13006163591.419355
LiteCoin,2019-03,3481801302.935484
Binance-Coin,2019-03,2097931161.516129
