name,year,open,high,low,close,volume,market_cap
Aave-Token,2024,234.5180366666667,398.0988,152.5973,241.91007666666667,34410503242.2,3577149866.266667
Aioz-Network,2021,0.5258618093040293,2.606515741,0.1627733,0.5200586185457875,693359329.2004,63295652.26245422
Aioz-Network,2022,0.11499335749315069,0.511450891,0.031250379,0.11385498588219178,479719724.47016,56829760.92060274
Aioz-Network,2023,0.03362146480547945,0.198478416,0.010994841,0.033938413671232875,545494238.18501,31538682.48860274
Aioz-Network,2024,0.5402818845783476,1.307166482,0.108806282,0.5432014531054131,5153272773.119,595122400.2376068
Binance-Coin,2017,2.2060825878321166,13.01494023,0.526755,2.2530171580948903,2424600189.244,58460023.169270076
Binance-Coin,2018,11.197430774739011,27.51095491,4.225133776,11.176238920304945,17947929095.565,677521661.496978
Binance-Coin,2019,20.062399571342468,39.44869962,5.509173116,20.07341917697808,82652215633.79,2950016667.449589
Binance-Coin,2020,21.27805216614481,39.34194015,6.873510959,21.330558657153006,188631729627.4,3178810278.8907104
Binance-Coin,2021,377.17203922221915,689.33,35.35586318,378.524139192,2209062016372.1,61012761687.67671
Binance-Coin,2022,325.1079255452055,532.7722,185.5211057,324.44296361095894,815122449475.0,53375848871.30137
Binance-Coin,2023,266.58218002958904,349.3764429,203.3133,266.7361143120548,500849307390.4,41546963707.56986
Binance-Coin,2024,536.0061908917379,792.4016,287.9518,537.1963103492877,1008987009950.5,79477191656.78917
Bitcoin,2010,0.1400672619047619,0.39,0.05,0.1400672619047619,0.0,626481.8422095238
Bitcoin,2011,5.642617260273973,29.6,0.295,5.642617260273973,0.0,38505204.35645754
Bitcoin,2012,8.289259836065574,13.7001,4.222,8.289259836065574,0.0,79761687.34961748
Bitcoin,2013,191.13432328767124,1156.14,13.28,192.71746328767122,165087361.13,2371632217.681644
Bitcoin,2014,528.3995534246575,1017.12,289.296,527.2415013698629,9171398767.344,6787956862.194521
Bitcoin,2015,272.1525616438356,495.562,171.51,272.45779452054796,12197702173.102,3921267806.057534
Bitcoin,2016,567.0265409836065,979.397,354.914,568.4630901639345,30430234574.35,8918466546.196722
Bitcoin,2017,3961.0438560657535,19927.18534,755.756,3996.691950021918,772346776497.59,66005472792.926025
Bitcoin,2018,7586.282209517808,18578.49314,3188.542617,7557.117745279452,1720726766192.0,129164914763.60274
Bitcoin,2019,7377.22525670685,13967.86228,3366.804929,7387.638914936986,5589049455488.0,131561642784.96439
Bitcoin,2020,11051.09349586612,29272.57805,4003.591032,11111.412596101092,12437087411427.0,203838992234.5929
Bitcoin,2021,47359.2483929863,68769.95537,28718.62179,47408.729580246574,32543337243715.0,888301695890.411
Bitcoin,2022,28266.237539726026,48129.97387,15598.4951,28190.617868958903,22976674869829.0,537678356164.38354
Bitcoin,2023,28779.32763682192,44614.01,16507.3906,28849.464119863016,17600567668884.0,559445649315.0685
Bitcoin,2024,63922.11849710983,103484.0,38604.83,64106.06459537573,31476723818759.0,1261701699421.9653
Bitcoin-Cash,2024,524.4291900000001,637.9634,426.5878,527.3371133333334,43664753521.4,10419863240.966667
Bitcoin-SV,2018,94.96472436075472,242.1347116,37.26943972,94.73617622226415,4139629357.677,1075683176.4150944
Bitcoin-SV,2019,109.1443376120274,253.1748422,49.68574286,109.147270362,90313586019.17,1945613043.8923287
Bitcoin-SV,2020,193.26719924745902,439.7596586,86.31950791,193.42446000956284,226148094734.0,3544534670.6092896
Bitcoin-SV,2021,184.6031991041096,493.6336193,86.5591,184.4450155117808,107638163872.25,3451322475.6191783
Bitcoin-SV,2022,65.04641790630137,125.1898,35.0557,64.8280967490411,10119114196.426,1238941627.0432878
Bitcoin-SV,2023,39.36295605249315,106.4317,23.9684,39.47414781019178,16045531647.779,760670419.6224657
Bitcoin-SV,2024,63.248909116809116,123.4992,32.0576,63.16324843304844,40252245788.76,1242510046.0216525
Celestia,2023,7.897418069064516,15.089,2.123946509,8.050125122709677,48157486966.8,1193998241.3854837
Celestia,2024,9.526910553538462,20.8501,3.765786014,9.514861618991453,187661264191.01,1856177085.9133902
Core-dao,2023,1.0662971204646154,3.71560058,0.341681489,1.0571681786707692,2690347041.019,512029272.35203075
Core-dao,2024,1.1855181596609687,4.16685308,0.461800439,1.1891402781481482,10945586422.871,175903428.87065527
Cosmos,2016,0.0027885101927710844,0.0350775,0.00010425,0.002858803409638554,78211.53979033101,20275.27342421687
Cosmos,2017,0.02260698570410959,0.0953525,0.00233269,0.022733630493150685,1719809.33453766,260457.93314350685
Cosmos,2018,0.030899861173584908,0.31244178,0.004584523,0.030594191894339626,2187457.14859455,445566.744756717
Cosmos,2019,4.029136097481229,9.350112528,1.911192853,4.019422415617748,32890569406.6749,671029738.2300341
Cosmos,2020,4.116476704502732,8.847855788,1.11596621,4.121552697013661,80387720578.56,815027089.340164
Cosmos,2021,21.042312088843836,44.3069,5.034270285,21.10389612011781,316121508117.5,4589333109.810959
Cosmos,2022,17.184449047923287,44.472,5.601147118,17.12808371049315,292229716709.1,4801428608.441096
Cosmos,2023,9.971433789772604,15.42545537,6.178509027,9.977235373339726,94035867671.1,3227018866.468493
Cosmos,2024,7.697900027339031,14.4411,3.64525496,7.6963771431566945,125568276782.65,2996261925.6096864
Curve,2020,1.3032456244244603,10.47973756,0.332060146,1.232124697438849,17084742318.24,57388755.10755396
Curve,2021,2.6980870049643837,6.377345428,0.539221601,2.7115665762547945,174441562228.85,958305035.4203287
Curve,2022,1.6747214196931506,6.760057574,0.404677641,1.66216371470137,124612833450.85,799977089.2668494
Curve,2023,0.7314422008219178,1.29132353,0.38924127,0.7318160542958905,75969201215.48,564622420.1523287
Curve,2024,0.4428395592621083,1.327187175,0.180952423,0.4444518655811966,118374182945.16,524532783.49572647
Dogecoin,2014,0.0004612156356164384,0.00233484,0.000103495,0.00046029294794520546,410102411.3209,30120150.77722192
Dogecoin,2015,0.00014273933424657534,0.000246695,8.5474e-05,0.00014267600273972604,61807200.20327,14268359.02050959
Dogecoin,2016,0.00023525345901639344,0.000500464,0.000134007,0.0002353428032786885,94068801.95042,24712288.44420765
Dogecoin,2017,0.0015743802328767125,0.010846326,0.000194613,0.0015979599397260276,6373223530.85384,175218506.3409589
Dogecoin,2018,0.004374155643835617,0.018200454,0.001996952,0.004351161736986301,5767573834.107,499579993.53178084
Dogecoin,2019,0.0025807506438356165,0.004415525,0.001813399,0.0025807269616438355,15007044781.192,309468607.4821918
Dogecoin,2020,0.002727551581967213,0.005384054,0.001216031,0.0027349956584699453,28501748534.37,342004370.9710382
Dogecoin,2021,0.20492179180547945,0.738594902,0.004640199,0.20547647546849315,1497889234682.2,26760384078.041096
Dogecoin,2022,0.098188326830137,0.205136005,0.049700632,0.09791766427945206,491323040589.6,13037623159.88767
Dogecoin,2023,0.07489948648219177,0.10526685,0.056441071,0.07495996468219178,527590425405.8,10377042160.00548
Dogecoin,2024,0.1549793258034188,0.480553327,0.074689025,0.15593389305982908,11341325403105.6,22565745122.507122
Ethereum,2015,0.9427961643835615,2.79881,0.420897,0.9301353356164384,120201052.63407,67937677.03260274
Ethereum,2016,9.758817046448087,21.5227,0.929835,9.77258818579235,6563449659.1963,801784318.5769671
Ethereum,2017,221.60766864958904,878.4296394,7.9691,223.58924287534248,241363753718.912,21023010802.38082
Ethereum,2018,485.9252124819178,1570.1262,82.40942563,483.8758313130959,752824704224.5,48048968241.40548
Ethereum,2019,181.67100544027394,365.1330055,102.6164437,181.7200758249315,2178501741696.0,19382148789.11507
Ethereum,2020,305.64029809153004,756.931006,93.02837713,307.33278194699454,5332403513875.0,34299890465.754097
Ethereum,2021,2774.514962989589,4867.173594,718.0630891,2782.8034494019175,15997543105104.0,324641889027.63837
Ethereum,2022,2000.3655949041095,3888.932141,897.0112056,1994.146027049315,9728723085223.0,241296928767.1233
Ethereum,2023,1794.5341109123287,2447.6009,1193.4222,1797.669385232877,6654192961691.0,216915002739.726
Ethereum,2024,3015.229910404624,4094.1757,2146.2668,3020.1228251445086,10347729329967.0,362883846820.80927
Fantom,2018,0.011054078761904762,0.038323379,0.003980124,0.010921021746031746,156064467.3564,12315901.064063493
Fantom,2019,0.013782933101369863,0.039186543,0.003092481,0.013797213164383561,2845634339.5904,23874486.155635614
